link,segment,fidelity_qubit_b_only,fidelity_full_state,latency_sec,raw_throughput_qubits_per_sec,effective_throughput_qubits_per_sec
N0-N1,N0-R1,0.999360485145142,0.9993604851451415,1e-05,99999999.99999999,99936048.51451413
N0-N1,R1-R2,0.55253148101213,0.5525314810121298,1e-05,99999999.99999999,55253148.10121297
N0-N1,R2-N1,0.9996018891784976,0.0,1e-05,99999999.99999999,0.0
N0-N2,N0-R1,0.14652897328472617,0.0,1e-05,99999999.99999999,0.0
N0-N2,R1-R2,0.9996677403405095,0.0,1e-05,99999999.99999999,0.0
N0-N3,N0-R1,0.9985993948239188,0.0,1e-05,99999999.99999999,0.0
N0-N3,R1-R2,0.9987210425479424,0.9987210425479426,1e-05,99999999.99999999,99872104.25479424
N0-N3,R2-N3,0.17164546227323146,0.0,1e-05,99999999.99999999,0.0
N0-N4,N0-R1,0.9993604851451422,0.0,1e-05,99999999.99999999,0.0
N0-N4,R1-R2,0.9475066219983008,0.0,1e-05,99999999.99999999,0.0
N0-N4,R2-N4,0.9985993948239188,0.0,1e-05,99999999.99999999,0.0
N1-N2,N1-R1,0.2091955884761947,0.0,1e-05,99999999.99999999,0.0
N1-N2,R1-R2,0.8055160880966904,0.0,1e-05,99999999.99999999,0.0
N1-N3,N1-R1,0.9998582940058334,0.9998582940058331,1e-05,99999999.99999999,99985829.4005833
N1-N3,R1-R2,0.9999995223020097,0.0,1e-05,99999999.99999999,0.0
N1-N3,R2-N3,0.15072343408576988,0.15072343408576985,1e-05,99999999.99999999,15072343.408576984
N1-N4,N1-R1,0.9998582940058334,0.0,1e-05,99999999.99999999,0.0
N1-N4,R1-R2,0.26684972659239004,0.2668497265923906,1e-05,99999999.99999999,26684972.659239054
N1-N4,R2-N4,0.9993604851451422,0.0,1e-05,99999999.99999999,0.0
N2-N3,R1-R2,0.9987210425479421,0.0,1e-05,99999999.99999999,0.0
N2-N3,R2-N3,0.9998582940058334,0.0,1e-05,99999999.99999999,0.0
N2-N4,R1-R2,0.18502340423533808,0.0,1e-05,99999999.99999999,0.0
N2-N4,R2-N4,0.999360485145142,0.9993604851451415,1e-05,99999999.99999999,99936048.51451413
N3-N4,N3-R1,0.9996018891784976,0.0,1e-05,99999999.99999999,0.0
N3-N4,R1-R2,0.2718756522847385,0.0,1e-05,99999999.99999999,0.0
N3-N4,R2-N4,0.9993604851451422,0.0,1e-05,99999999.99999999,0.0
